,id_x_x,device_id_x,transaction_value_x,account_id,ts_millis_x,latitude_x,longitude_x,zip_x,id_x_y,device_id_y,transaction_value_y,ts_millis_y,latitude_y,longitude_y,zip_y,distance,diff_first_second,average,fraud
45,5.416190868183552e+18,3063.0,151.12,0.0,1465291135970.0,42.774427,-71.511111,3063,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,21.76289548020321,85883.0,1.5808350030124856,0
60,7.250209153701219e+18,3102.0,76.59,0.0,1465291170704.0,43.007883,-71.494561,3102,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,4.204376466245944,120617.0,1.5808350030124856,0
61,7.250209153701219e+18,3102.0,76.59,0.0,1465291170704.0,43.007883,-71.494561,3102,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,25.967271946449152,34734.0,1.5808350030124856,0
75,5.798320489225646e+18,3107.0,100.04,0.0,1465291273578.0,42.952124,-71.65393900000001,3107,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,1.997687804804129,223491.0,1.5808350030124856,0
76,5.798320489225646e+18,3107.0,100.04,0.0,1465291273578.0,42.952124,-71.65393900000001,3107,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,19.76520767539908,137608.0,1.5808350030124856,0
77,5.798320489225646e+18,3107.0,100.04,0.0,1465291273578.0,42.952124,-71.65393900000001,3107,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,6.202064271050073,102874.0,1.5808350030124856,0
90,8.540583389140432e+18,3079.0,95.01,0.0,1465291286725.0,42.872045,-71.19619499999999,3079,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,10.904861619996678,236638.0,1.5808350030124856,0
91,8.540583389140432e+18,3079.0,95.01,0.0,1465291286725.0,42.872045,-71.19619499999999,3079,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,10.858033860206529,150755.0,1.5808350030124856,0
92,8.540583389140432e+18,3079.0,95.01,0.0,1465291286725.0,42.872045,-71.19619499999999,3079,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,15.109238086242623,116021.0,1.5808350030124856,0
93,8.540583389140432e+18,3079.0,95.01,0.0,1465291286725.0,42.872045,-71.19619499999999,3079,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,8.907173815192548,13147.0,1.5808350030124856,0
105,8.420866259829262e+18,3054.0,126.13,0.0,1465291363141.0,42.924928,-71.667508,3054,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,5.0226943493154215,313054.0,1.5808350030124856,0
106,8.420866259829262e+18,3054.0,126.13,0.0,1465291363141.0,42.924928,-71.667508,3054,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,16.740201130887787,227171.0,1.5808350030124856,0
107,8.420866259829262e+18,3054.0,126.13,0.0,1465291363141.0,42.924928,-71.667508,3054,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,9.227070815561367,192437.0,1.5808350030124856,0
108,8.420866259829262e+18,3054.0,126.13,0.0,1465291363141.0,42.924928,-71.667508,3054,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,3.0250065445112924,89563.0,1.5808350030124856,0
109,8.420866259829262e+18,3054.0,126.13,0.0,1465291363141.0,42.924928,-71.667508,3054,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,5.882167270681257,76416.0,1.5808350030124856,0
120,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,10.568280144643253,340550.0,1.5808350030124856,0
121,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,32.33117562484646,254667.0,1.5808350030124856,0
122,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,6.363903678397308,219933.0,1.5808350030124856,0
123,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,12.565967949447383,117059.0,1.5808350030124856,0
124,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,21.473141764639934,103912.0,1.5808350030124856,0
125,6.332410177967616e+18,3106.0,142.24,0.0,1465291390637.0,43.065096999999994,-71.443616,3106,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,15.590974493958678,27496.0,1.5808350030124856,0
135,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,12.295234535365868,436165.0,1.5808350030124856,0
136,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,9.467660944837341,350282.0,1.5808350030124856,0
137,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,16.49961100161181,315548.0,1.5808350030124856,0
138,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,10.297546730561738,212674.0,1.5808350030124856,0
139,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,1.3903729153691886,199527.0,1.5808350030124856,0
140,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,7.2725401860504455,123111.0,1.5808350030124856,0
141,8.238206017900739e+18,3049.0,90.29,0.0,1465291486252.0,42.859545000000004,-71.581313,3049,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,22.86351468000912,95615.0,1.5808350030124856,0
150,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,10.998850829075156,482833.0,1.5808350030124856,0
151,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,10.764044651128055,396950.0,1.5808350030124856,0
152,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,15.203227295321097,362216.0,1.5808350030124856,0
153,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,9.001163024271024,259342.0,1.5808350030124856,0
154,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,0.09398920907847574,246195.0,1.5808350030124856,0
155,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,5.976156479759733,169779.0,1.5808350030124856,0
156,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,21.567130973718406,142283.0,1.5808350030124856,0
157,5.376461978199768e+18,3053.0,69.61,0.0,1465291532920.0,42.8712,-71.387776,3053,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,1.296383706290713,46668.0,1.5808350030124856,0
165,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,1.997687804804129,580357.0,1.5808350030124856,0
166,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,19.76520767539908,494474.0,1.5808350030124856,0
167,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,6.202064271050073,459740.0,1.5808350030124856,0
168,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,0.0,356866.0,1.5808350030124856,0
169,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,8.907173815192548,343719.0,1.5808350030124856,0
170,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,3.0250065445112924,267303.0,1.5808350030124856,0
171,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,12.565967949447383,239807.0,1.5808350030124856,0
172,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,10.297546730561738,144192.0,1.5808350030124856,0
173,7.616816296475498e+18,3108.0,33.11,0.0,1465291630444.0,42.952124,-71.65393900000001,3108,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,9.001163024271024,97524.0,1.5808350030124856,0
180,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,8.661800803088601,594273.0,1.5808350030124856,0
181,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,13.101094677114608,508390.0,1.5808350030124856,0
182,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,12.866177269334544,473656.0,1.5808350030124856,0
183,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,6.664112998284471,370782.0,1.5808350030124856,0
184,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,2.243060816908078,357635.0,1.5808350030124856,0
185,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,3.6391064537731794,281219.0,1.5808350030124856,0
